Page Type,Region,County/Area,City,URL Slug,Page Title (H1),Priority,Notes
County,England,Cheshire,,/supercar-delivery-service-to-cheshire,Supercar Delivery Service to Cheshire,High,"Alderley Edge, Wilmslow - supercar hotspot"
County,England,Surrey,,/supercar-delivery-service-to-surrey,Supercar Delivery Service to Surrey,High,"Weybridge, Esher - high wealth area"
County,England,Berkshire,,/supercar-delivery-service-to-berkshire,Supercar Delivery Service to Berkshire,Medium,"Ascot, Virginia Water"
County,England,Hertfordshire,,/supercar-delivery-service-to-hertfordshire,Supercar Delivery Service to Hertfordshire,Medium,North London wealth belt
County,England,Essex,,/supercar-delivery-service-to-essex,Supercar Delivery Service to Essex,Medium,Supercar culture stronghold
County,England,Kent,,/supercar-delivery-service-to-kent,Supercar Delivery Service to Kent,Medium,Garden of England
County,England,Hampshire,,/supercar-delivery-service-to-hampshire,Supercar Delivery Service to Hampshire,Medium,
County,England,Buckinghamshire,,/supercar-delivery-service-to-buckinghamshire,Supercar Delivery Service to Buckinghamshire,Medium,"Beaconsfield, Gerrards Cross"
County,England,Cotswolds,,/supercar-delivery-service-to-cotswolds,Supercar Delivery Service to Cotswolds,Medium,Rural affluence
City,Scotland,,Edinburgh,/supercar-delivery-service-to-edinburgh,Supercar Delivery Service to Edinburgh,Medium,Scottish capital
City,Scotland,,Glasgow,/supercar-delivery-service-to-glasgow,Supercar Delivery Service to Glasgow,Medium,Largest Scottish city
City,Scotland,,Aberdeen,/supercar-delivery-service-to-aberdeen,Supercar Delivery Service to Aberdeen,Medium,Oil industry wealth
City,Scotland,,Dundee,/supercar-delivery-service-to-dundee,Supercar Delivery Service to Dundee,Low,
City,Scotland,,Inverness,/supercar-delivery-service-to-inverness,Supercar Delivery Service to Inverness,Low,
City,Wales,,Cardiff,/supercar-delivery-service-to-cardiff,Supercar Delivery Service to Cardiff,Medium,Welsh capital
City,Wales,,Swansea,/supercar-delivery-service-to-swansea,Supercar Delivery Service to Swansea,Low,
City,Wales,,Newport,/supercar-delivery-service-to-newport,Supercar Delivery Service to Newport,Low,
City,Northern Ireland,,Belfast,/supercar-delivery-service-to-belfast,Supercar Delivery Service to Belfast,Medium,NI capital
City,Northern Ireland,,Londonderry,/supercar-delivery-service-to-londonderry,Supercar Delivery Service to Londonderry,Low,
City,Channel Islands,,Jersey,/supercar-delivery-service-to-jersey,Supercar Delivery Service to Jersey,High,Tax haven - high wealth per capita
City,Channel Islands,,Guernsey,/supercar-delivery-service-to-guernsey,Supercar Delivery Service to Guernsey,Medium,Tax haven
City,Crown Dependencies,,Isle of Man,/supercar-delivery-service-to-isle-of-man,Supercar Delivery Service to Isle of Man,Medium,TT races - car culture
